PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,Toluene,AQI,year,month,day,weekday,dayofyear,Date,City
43.52,118.3,11.25,44.05,32.35,14.75,0.77,10.51,7.6,108.0,2018.0,4.0,19.0,3.0,109.0,2018-04-19,Hyderabad
50.93181750012959,102.77406606369232,10.458600763943599,19.1369834038029,20.58730637896224,21.70577500902982,0.0,8.097685786682973,0.0,109.09773072429925,2017.0,4.0,6.0,3.0,96.0,2017-04-06,Mumbai
67.83,127.38009787328679,8.69,14.05,11.8,62.17999999999999,0.8,9.71,0.28,150.0,2018.0,2.0,19.0,0.0,50.0,2018-02-19,Chennai
62.35482784543319,125.3491325071011,12.572992769963589,21.60328963246991,24.346676826654402,24.158420823218194,1.0500307687194996,9.343070989121998,0.0,154.17961456963894,2017.0,3.0,6.0,0.0,65.0,2017-03-06,Ahmedabad
101.59,165.89,33.46,21.83,31.03,29.246949497754485,0.99,10.81,6.13,270.0,2019.0,11.0,13.0,2.0,317.0,2019-11-13,Chandigarh
33.8937604040334,69.08751902524523,1.4888137535374177,8.27398042832101,0.0,16.29032882522074,0.0,6.802285482914385,0.0,69.52850350039898,2017.0,7.0,30.0,6.0,211.0,2017-07-30,Visakhapatnam
83.08,145.91594786505152,4.23,29.17,22.65,7.23,1.14,11.81,3.45,149.0,2019.0,3.0,17.0,6.0,76.0,2019-03-17,Lucknow
158.245,293.50214727183254,19.85,48.82,42.21,52.21,1.62,9.82,3.11,393.0,2018.0,1.0,11.0,3.0,11.0,2018-01-11,Lucknow
125.76,267.76,35.02,76.42499999999998,70.25,10.11,1.29,20.76,9.65,307.0,2019.0,1.0,20.0,6.0,20.0,2019-01-20,Visakhapatnam
149.67,238.17,30.62,47.55,54.41,40.72,1.16,14.39,18.69,315.0,2020.0,2.0,8.0,5.0,39.0,2020-02-08,Delhi
21.7,52.5,4.65,15.48,16.43,5.64,0.62,6.99,2.57,58.0,2020.0,6.0,9.0,1.0,161.0,2020-06-09,Bengaluru
27.98,57.67,3.71,25.23,28.93,21.12,0.5,2.04,6.0,74.0,2019.0,4.0,1.0,0.0,91.0,2019-04-01,Kolkata
64.03838748696518,134.20905154006186,14.189432985148434,26.79041369261256,28.669732376960383,23.051482369935,1.0985598386496656,12.010264685530274,5.582268032662796,162.72571948626046,2018.0,2.0,1.0,3.0,32.0,2018-02-01,Talcher
39.22,79.24,0.9,4.18,2.96,2.57,0.82,1.44,1.560740934342789,79.0,2019.0,4.0,1.0,0.0,91.0,2019-04-01,Thiruvananthapuram
59.645732278890414,123.14635602424482,14.073077575216187,26.309862678747663,28.22699630754846,22.07036658371885,1.0588575171327066,11.520106102144268,5.734899407225953,151.64695862962253,2018.0,5.0,31.0,3.0,151.0,2018-05-31,Jorapokhar
